id,title,text,label
34,SHOCKING trick cures diabetes overnight limited ti,SHOCKING trick cures diabetes overnight limited time!,FAKE
35,aliens landed and media hides the footage — share ,aliens landed and media hides the footage — share NOW!,FAKE
36,you won't BELIEVE the truth about the news guarant,you won't BELIEVE the truth about the news guaranteed!,FAKE
37,The State Bank released its annual activity report,The State Bank released its annual activity report officials said.,REAL
38,earn 500000 from home doing nothing click here!,earn 500000 from home doing nothing click here!,FAKE
39,The State Bank launched a district service initiat,The State Bank launched a district service initiative in a statement.,REAL
40,"ancient remedy cures arthritis, experts furious — ","ancient remedy cures arthritis, experts furious — share NOW!",FAKE
41,The State Bank allocated additional budget funds e,The State Bank allocated additional budget funds earlier today.,REAL
42,aliens landed and media hides the footage guarante,aliens landed and media hides the footage guaranteed!,FAKE
43,The State Bank allocated additional budget funds i,The State Bank allocated additional budget funds in a statement.,REAL
44,The State Bank released its annual activity report,The State Bank released its annual activity report on Monday.,REAL
45,The State Bank approved a minor routine adjustment,The State Bank approved a minor routine adjustment on Wednesday.,REAL
46,The State Bank began the second data collection ph,The State Bank began the second data collection phase during the session.,REAL
47,The State Bank reviewed quarterly performance figu,The State Bank reviewed quarterly performance figures on Wednesday.,REAL
48,SHOCKING trick cures diabetes overnight they hate ,SHOCKING trick cures diabetes overnight they hate this!,FAKE
49,The State Bank reviewed quarterly performance figu,The State Bank reviewed quarterly performance figures on Monday.,REAL
50,The State Bank recorded a decline in reported case,The State Bank recorded a decline in reported cases during the session.,REAL
51,the spice hides a tracking microchip click here!,the spice hides a tracking microchip click here!,FAKE
52,EXPOSED the real reason behind science limited tim,EXPOSED the real reason behind science limited time!,FAKE
53,The State Bank reviewed quarterly performance figu,The State Bank reviewed quarterly performance figures this month.,REAL
54,The finance ministry reported a modest quarterly i,The finance ministry reported a modest quarterly increase according to the report.,REAL
55,The State Bank opened a new public facility on Mon,The State Bank opened a new public facility on Monday.,REAL
56,"BREAKING: free fruit for ALL citizens, register be","BREAKING: free fruit for ALL citizens, register before midnight don't miss out!",FAKE
57,The finance ministry approved a minor routine adju,The finance ministry approved a minor routine adjustment earlier today.,REAL
58,The State Bank held a press conference for reporte,The State Bank held a press conference for reporters on Monday.,REAL
59,The State Bank met local business leaders on expor,The State Bank met local business leaders on exports in a statement.,REAL
60,The State Bank published findings in a research jo,The State Bank published findings in a research journal on Monday.,REAL
61,they add chemicals to your bank account click here,they add chemicals to your bank account click here!,FAKE
62,The finance ministry held a press conference for r,The finance ministry held a press conference for reporters as planned.,REAL
63,The State Bank allocated additional budget funds a,The State Bank allocated additional budget funds as planned.,REAL
64,The State Bank forecast light rainfall up north in,The State Bank forecast light rainfall up north in a statement.,REAL
65,"you were charged 50000, click to reverse now act f","you were charged 50000, click to reverse now act fast!",FAKE
66,The State Bank reported a modest quarterly increas,The State Bank reported a modest quarterly increase this month.,REAL
67,The finance ministry approved a minor routine adju,The finance ministry approved a minor routine adjustment during the session.,REAL
68,The State Bank allocated additional budget funds d,The State Bank allocated additional budget funds during the session.,REAL
69,The finance ministry announced a revised policy af,The finance ministry announced a revised policy after a review meeting according to the report.,REAL
70,The State Bank approved a minor routine adjustment,The State Bank approved a minor routine adjustment earlier today.,REAL
71,"you were charged 50000, click to reverse now — sha","you were charged 50000, click to reverse now — share NOW!",FAKE
72,you won't BELIEVE the truth about the government!!,you won't BELIEVE the truth about the government!!!,FAKE
73,The State Bank recorded a decline in reported case,The State Bank recorded a decline in reported cases this month.,REAL
74,The State Bank allocated additional budget funds t,The State Bank allocated additional budget funds this week.,REAL
75,MIRACLE spice melts fat in one week limited time!,MIRACLE spice melts fat in one week limited time!,FAKE
76,URGENT: your electricity blocked tomorrow unless y,URGENT: your electricity blocked tomorrow unless you forward this!!!,FAKE
77,The State Bank reported a modest quarterly increas,The State Bank reported a modest quarterly increase as planned.,REAL
78,The State Bank published findings in a research jo,The State Bank published findings in a research journal in a statement.,REAL
79,The State Bank completed scheduled maintenance wor,The State Bank completed scheduled maintenance work earlier today.,REAL
80,The State Bank upgraded infrastructure for peak de,The State Bank upgraded infrastructure for peak demand in a statement.,REAL
81,secret makes your bills vanish completely don't mi,secret makes your bills vanish completely don't miss out!,FAKE
82,the solar panels hides a tracking microchip before,the solar panels hides a tracking microchip before it's deleted!,FAKE
83,you won't BELIEVE the truth about the news wake up,you won't BELIEVE the truth about the news wake up!,FAKE
84,"you were charged 50000, click to reverse now wake ","you were charged 50000, click to reverse now wake up!",FAKE
85,"BREAKING: free gadgets for ALL citizens, register ","BREAKING: free gadgets for ALL citizens, register before midnight guaranteed!",FAKE
86,The State Bank met local business leaders on expor,The State Bank met local business leaders on exports on Monday.,REAL
87,The State Bank advised residents on seasonal sched,The State Bank advised residents on seasonal schedules on Wednesday.,REAL
88,The State Bank released its annual activity report,The State Bank released its annual activity report in a statement.,REAL
89,The finance ministry released its annual activity ,The finance ministry released its annual activity report according to the report.,REAL
90,URGENT: your phone blocked tomorrow unless you for,URGENT: your phone blocked tomorrow unless you forward this don't miss out!,FAKE
91,The State Bank recorded a decline in reported case,The State Bank recorded a decline in reported cases as planned.,REAL
92,The finance ministry approved a minor routine adju,The finance ministry approved a minor routine adjustment on Wednesday.,REAL
93,The finance ministry released its annual activity ,The finance ministry released its annual activity report this week.,REAL
94,The finance ministry released its annual activity ,The finance ministry released its annual activity report during the session.,REAL
95,The finance ministry confirmed the new project tim,The finance ministry confirmed the new project timeline officials said.,REAL
96,The State Bank announced a revised policy after a ,The State Bank announced a revised policy after a review meeting this week.,REAL
97,The State Bank began the second data collection ph,The State Bank began the second data collection phase this month.,REAL
98,this trick fixes your electricity in seven days — ,this trick fixes your electricity in seven days — share NOW!,FAKE
99,The State Bank upgraded infrastructure for peak de,The State Bank upgraded infrastructure for peak demand according to the report.,REAL
100,The State Bank forecast light rainfall up north th,The State Bank forecast light rainfall up north this month.,REAL
101,the tablets hides a tracking microchip — share NOW,the tablets hides a tracking microchip — share NOW!,FAKE
102,secret makes your bills vanish completely wake up!,secret makes your bills vanish completely wake up!,FAKE
103,The State Bank signed a regional cooperation agree,The State Bank signed a regional cooperation agreement this month.,REAL
104,SHOCKING trick cures arthritis overnight!!!,SHOCKING trick cures arthritis overnight!!!,FAKE
105,free money for sharing this to five groups before ,free money for sharing this to five groups before it's deleted!,FAKE
106,"BREAKING: free vaccine for ALL citizens, register ","BREAKING: free vaccine for ALL citizens, register before midnight!!!",FAKE
107,SHOCKING trick cures arthritis overnight click her,SHOCKING trick cures arthritis overnight click here!,FAKE
108,The State Bank upgraded infrastructure for peak de,The State Bank upgraded infrastructure for peak demand during the session.,REAL
109,The State Bank approved a minor routine adjustment,The State Bank approved a minor routine adjustment on Monday.,REAL
110,The State Bank held a press conference for reporte,The State Bank held a press conference for reporters officials said.,REAL
111,The State Bank reported a modest quarterly increas,The State Bank reported a modest quarterly increase on Wednesday.,REAL
112,The finance ministry confirmed the new project tim,The finance ministry confirmed the new project timeline as planned.,REAL
113,The State Bank advised residents on seasonal sched,The State Bank advised residents on seasonal schedules this week.,REAL
114,The State Bank announced a revised policy after a ,The State Bank announced a revised policy after a review meeting during the session.,REAL
115,The finance ministry confirmed the new project tim,The finance ministry confirmed the new project timeline according to the report.,REAL
116,The finance ministry announced a revised policy af,The finance ministry announced a revised policy after a review meeting as planned.,REAL
117,The State Bank completed scheduled maintenance wor,The State Bank completed scheduled maintenance work on Monday.,REAL
118,MIRACLE phones melts fat in one week!!!,MIRACLE phones melts fat in one week!!!,FAKE
119,The State Bank signed a regional cooperation agree,The State Bank signed a regional cooperation agreement during the session.,REAL
120,The State Bank met local business leaders on expor,The State Bank met local business leaders on exports this month.,REAL
121,The State Bank opened a new public facility in a s,The State Bank opened a new public facility in a statement.,REAL
122,The State Bank launched a district service initiat,The State Bank launched a district service initiative during the session.,REAL
123,The finance ministry reported a modest quarterly i,The finance ministry reported a modest quarterly increase as planned.,REAL
124,"ancient remedy cures blindness, experts furious gu","ancient remedy cures blindness, experts furious guaranteed!",FAKE
125,The State Bank completed scheduled maintenance wor,The State Bank completed scheduled maintenance work in a statement.,REAL
126,The State Bank announced a revised policy after a ,The State Bank announced a revised policy after a review meeting according to the report.,REAL
127,The State Bank released its annual activity report,The State Bank released its annual activity report this week.,REAL
128,"BREAKING: free fruit for ALL citizens, register be","BREAKING: free fruit for ALL citizens, register before midnight before it's deleted!",FAKE
129,aliens landed and media hides the footage click he,aliens landed and media hides the footage click here!,FAKE
130,free money for sharing this to five groups click h,free money for sharing this to five groups click here!,FAKE
131,the phones hides a tracking microchip they hate th,the phones hides a tracking microchip they hate this!,FAKE
132,The State Bank signed a regional cooperation agree,The State Bank signed a regional cooperation agreement on Wednesday.,REAL
133,The finance ministry held a press conference for r,The finance ministry held a press conference for reporters earlier today.,REAL
134,free money for sharing this to five groups wake up,free money for sharing this to five groups wake up!,FAKE
135,you won't BELIEVE the truth about the news they ha,you won't BELIEVE the truth about the news they hate this!,FAKE
136,URGENT: your electricity blocked tomorrow unless y,URGENT: your electricity blocked tomorrow unless you forward this wake up!,FAKE
137,The State Bank confirmed the new project timeline ,The State Bank confirmed the new project timeline this month.,REAL
138,secret makes your bills vanish completely limited ,secret makes your bills vanish completely limited time!,FAKE
139,free money for sharing this to five groups act fas,free money for sharing this to five groups act fast!,FAKE
140,The State Bank launched a district service initiat,The State Bank launched a district service initiative this month.,REAL
141,URGENT: your water blocked tomorrow unless you for,URGENT: your water blocked tomorrow unless you forward this before it's deleted!,FAKE
142,The State Bank announced a revised policy after a ,The State Bank announced a revised policy after a review meeting on Monday.,REAL
143,The State Bank allocated additional budget funds o,The State Bank allocated additional budget funds on Monday.,REAL
144,The finance ministry approved a minor routine adju,The finance ministry approved a minor routine adjustment in a statement.,REAL
145,scientists say tablets removes all fat act fast!,scientists say tablets removes all fat act fast!,FAKE
146,The finance ministry held a press conference for r,The finance ministry held a press conference for reporters according to the report.,REAL
147,The State Bank confirmed the new project timeline ,The State Bank confirmed the new project timeline earlier today.,REAL
148,The State Bank signed a regional cooperation agree,The State Bank signed a regional cooperation agreement earlier today.,REAL
149,free money for sharing this to five groups — share,free money for sharing this to five groups — share NOW!,FAKE
150,earn 500000 from home doing nothing!!!,earn 500000 from home doing nothing!!!,FAKE
151,EXPOSED the real reason behind science — share NOW,EXPOSED the real reason behind science — share NOW!,FAKE
152,The State Bank began the second data collection ph,The State Bank began the second data collection phase officials said.,REAL
153,scientists say laptops removes all fat before it's,scientists say laptops removes all fat before it's deleted!,FAKE
154,The State Bank completed scheduled maintenance wor,The State Bank completed scheduled maintenance work this week.,REAL
155,this trick fixes your internet in seven days limit,this trick fixes your internet in seven days limited time!,FAKE
156,The State Bank opened a new public facility accord,The State Bank opened a new public facility according to the report.,REAL
157,secret cancer cure hidden by big companies they ha,secret cancer cure hidden by big companies they hate this!,FAKE
158,The State Bank released its annual activity report,The State Bank released its annual activity report this month.,REAL
159,earn 500000 from home doing nothing limited time!,earn 500000 from home doing nothing limited time!,FAKE
160,secret blindness cure hidden by big companies limi,secret blindness cure hidden by big companies limited time!,FAKE
161,The State Bank forecast light rainfall up north of,The State Bank forecast light rainfall up north officials said.,REAL
162,free money for sharing this to five groups don't m,free money for sharing this to five groups don't miss out!,FAKE
163,ALERT disaster strikes next Friday don't miss out!,ALERT disaster strikes next Friday don't miss out!,FAKE
164,scientists say tablets removes all fat don't miss ,scientists say tablets removes all fat don't miss out!,FAKE
165,The State Bank forecast light rainfall up north du,The State Bank forecast light rainfall up north during the session.,REAL
166,The State Bank recorded a decline in reported case,The State Bank recorded a decline in reported cases in a statement.,REAL
167,The finance ministry held a press conference for r,The finance ministry held a press conference for reporters in a statement.,REAL
168,this trick fixes your internet in seven days click,this trick fixes your internet in seven days click here!,FAKE
169,scientists say fruit removes all fat they hate thi,scientists say fruit removes all fat they hate this!,FAKE
170,ALERT disaster strikes next Friday limited time!,ALERT disaster strikes next Friday limited time!,FAKE
171,you won't BELIEVE the truth about the news before ,you won't BELIEVE the truth about the news before it's deleted!,FAKE
172,The State Bank completed scheduled maintenance wor,The State Bank completed scheduled maintenance work on Wednesday.,REAL
173,URGENT: your phone blocked tomorrow unless you for,URGENT: your phone blocked tomorrow unless you forward this click here!,FAKE
174,secret makes your bills vanish completely!!!,secret makes your bills vanish completely!!!,FAKE
175,the spice hides a tracking microchip guaranteed!,the spice hides a tracking microchip guaranteed!,FAKE
176,The State Bank upgraded infrastructure for peak de,The State Bank upgraded infrastructure for peak demand this month.,REAL
177,The State Bank confirmed the new project timeline ,The State Bank confirmed the new project timeline during the session.,REAL
178,The State Bank approved a minor routine adjustment,The State Bank approved a minor routine adjustment during the session.,REAL
179,The State Bank began the second data collection ph,The State Bank began the second data collection phase this week.,REAL
180,The State Bank advised residents on seasonal sched,The State Bank advised residents on seasonal schedules earlier today.,REAL
181,free money for sharing this to five groups!!!,free money for sharing this to five groups!!!,FAKE
182,The State Bank held a press conference for reporte,The State Bank held a press conference for reporters in a statement.,REAL
183,The State Bank began the second data collection ph,The State Bank began the second data collection phase on Wednesday.,REAL
184,The State Bank upgraded infrastructure for peak de,The State Bank upgraded infrastructure for peak demand officials said.,REAL
185,"ancient remedy cures baldness, experts furious lim","ancient remedy cures baldness, experts furious limited time!",FAKE
186,MIRACLE laptops melts fat in one week click here!,MIRACLE laptops melts fat in one week click here!,FAKE
187,The State Bank advised residents on seasonal sched,The State Bank advised residents on seasonal schedules officials said.,REAL
188,The State Bank held a press conference for reporte,The State Bank held a press conference for reporters during the session.,REAL
189,The State Bank confirmed the new project timeline ,The State Bank confirmed the new project timeline in a statement.,REAL
190,SHOCKING trick cures diabetes overnight act fast!,SHOCKING trick cures diabetes overnight act fast!,FAKE
191,The State Bank met local business leaders on expor,The State Bank met local business leaders on exports this week.,REAL
192,aliens landed and media hides the footage don't mi,aliens landed and media hides the footage don't miss out!,FAKE
193,ALERT disaster strikes next Friday!!!,ALERT disaster strikes next Friday!!!,FAKE
194,the gadgets hides a tracking microchip!!!,the gadgets hides a tracking microchip!!!,FAKE
195,MIRACLE vaccine melts fat in one week guaranteed!,MIRACLE vaccine melts fat in one week guaranteed!,FAKE
196,The State Bank advised residents on seasonal sched,The State Bank advised residents on seasonal schedules according to the report.,REAL
197,The State Bank opened a new public facility during,The State Bank opened a new public facility during the session.,REAL
198,The State Bank allocated additional budget funds t,The State Bank allocated additional budget funds this month.,REAL
199,The State Bank reviewed quarterly performance figu,The State Bank reviewed quarterly performance figures during the session.,REAL
200,The State Bank reported a modest quarterly increas,The State Bank reported a modest quarterly increase officials said.,REAL
201,The State Bank published findings in a research jo,The State Bank published findings in a research journal according to the report.,REAL
202,free money for sharing this to five groups they ha,free money for sharing this to five groups they hate this!,FAKE
203,earn 500000 from home doing nothing wake up!,earn 500000 from home doing nothing wake up!,FAKE
204,URGENT: your water blocked tomorrow unless you for,URGENT: your water blocked tomorrow unless you forward this guaranteed!,FAKE
205,the spice hides a tracking microchip act fast!,the spice hides a tracking microchip act fast!,FAKE
206,you won't BELIEVE the truth about history click he,you won't BELIEVE the truth about history click here!,FAKE
207,secret diabetes cure hidden by big companies!!!,secret diabetes cure hidden by big companies!!!,FAKE
208,The State Bank signed a regional cooperation agree,The State Bank signed a regional cooperation agreement according to the report.,REAL
209,The State Bank reported a modest quarterly increas,The State Bank reported a modest quarterly increase according to the report.,REAL
210,aliens landed and media hides the footage!!!,aliens landed and media hides the footage!!!,FAKE
211,"BREAKING: free solar panels for ALL citizens, regi","BREAKING: free solar panels for ALL citizens, register before midnight — share NOW!",FAKE
212,The finance ministry announced a revised policy af,The finance ministry announced a revised policy after a review meeting this month.,REAL
213,The State Bank announced a revised policy after a ,The State Bank announced a revised policy after a review meeting this month.,REAL
214,The State Bank released its annual activity report,The State Bank released its annual activity report during the session.,REAL
215,The State Bank opened a new public facility earlie,The State Bank opened a new public facility earlier today.,REAL
216,SHOCKING trick cures obesity overnight guaranteed!,SHOCKING trick cures obesity overnight guaranteed!,FAKE
217,earn 500000 from home doing nothing guaranteed!,earn 500000 from home doing nothing guaranteed!,FAKE
218,they add chemicals to your bank account they hate ,they add chemicals to your bank account they hate this!,FAKE
219,The State Bank reviewed quarterly performance figu,The State Bank reviewed quarterly performance figures according to the report.,REAL
220,The finance ministry reported a modest quarterly i,The finance ministry reported a modest quarterly increase this week.,REAL
221,The State Bank upgraded infrastructure for peak de,The State Bank upgraded infrastructure for peak demand as planned.,REAL
222,The finance ministry approved a minor routine adju,The finance ministry approved a minor routine adjustment as planned.,REAL
223,The finance ministry reported a modest quarterly i,The finance ministry reported a modest quarterly increase earlier today.,REAL
224,The State Bank approved a minor routine adjustment,The State Bank approved a minor routine adjustment according to the report.,REAL
225,The State Bank met local business leaders on expor,The State Bank met local business leaders on exports officials said.,REAL
226,The State Bank began the second data collection ph,The State Bank began the second data collection phase according to the report.,REAL
227,ALERT disaster strikes next Friday act fast!,ALERT disaster strikes next Friday act fast!,FAKE
228,The State Bank forecast light rainfall up north on,The State Bank forecast light rainfall up north on Monday.,REAL
229,The State Bank forecast light rainfall up north th,The State Bank forecast light rainfall up north this week.,REAL
230,URGENT: your internet blocked tomorrow unless you ,URGENT: your internet blocked tomorrow unless you forward this limited time!,FAKE
231,The finance ministry approved a minor routine adju,The finance ministry approved a minor routine adjustment this month.,REAL
232,"ancient remedy cures obesity, experts furious!!!","ancient remedy cures obesity, experts furious!!!",FAKE
233,The State Bank confirmed the new project timeline ,The State Bank confirmed the new project timeline on Monday.,REAL
234,The finance ministry confirmed the new project tim,The finance ministry confirmed the new project timeline this week.,REAL
235,the laptops hides a tracking microchip limited tim,the laptops hides a tracking microchip limited time!,FAKE
236,you won't BELIEVE the truth about the news — share,you won't BELIEVE the truth about the news — share NOW!,FAKE
237,secret arthritis cure hidden by big companies befo,secret arthritis cure hidden by big companies before it's deleted!,FAKE
238,The State Bank introduced an updated online system,The State Bank introduced an updated online system this month.,REAL
239,"you were charged 50000, click to reverse now!!!","you were charged 50000, click to reverse now!!!",FAKE
240,secret makes your bills vanish completely click he,secret makes your bills vanish completely click here!,FAKE
241,this trick fixes your phone in seven days don't mi,this trick fixes your phone in seven days don't miss out!,FAKE
242,SHOCKING trick cures baldness overnight wake up!,SHOCKING trick cures baldness overnight wake up!,FAKE
243,"you were charged 50000, click to reverse now click","you were charged 50000, click to reverse now click here!",FAKE
244,"BREAKING: free gold for ALL citizens, register bef","BREAKING: free gold for ALL citizens, register before midnight act fast!",FAKE
245,The State Bank announced a revised policy after a ,The State Bank announced a revised policy after a review meeting on Wednesday.,REAL
246,The finance ministry held a press conference for r,The finance ministry held a press conference for reporters this week.,REAL
247,The State Bank forecast light rainfall up north ea,The State Bank forecast light rainfall up north earlier today.,REAL
248,they add chemicals to your internet act fast!,they add chemicals to your internet act fast!,FAKE
249,The finance ministry held a press conference for r,The finance ministry held a press conference for reporters on Monday.,REAL
250,The State Bank advised residents on seasonal sched,The State Bank advised residents on seasonal schedules as planned.,REAL
251,"BREAKING: free tablets for ALL citizens, register ","BREAKING: free tablets for ALL citizens, register before midnight they hate this!",FAKE
252,scientists say laptops removes all fat — share NOW,scientists say laptops removes all fat — share NOW!,FAKE
253,they add chemicals to your internet!!!,they add chemicals to your internet!!!,FAKE
254,earn 500000 from home doing nothing they hate this,earn 500000 from home doing nothing they hate this!,FAKE
255,free money for sharing this to five groups limited,free money for sharing this to five groups limited time!,FAKE
256,The State Bank approved a minor routine adjustment,The State Bank approved a minor routine adjustment this month.,REAL
257,The State Bank published findings in a research jo,The State Bank published findings in a research journal during the session.,REAL
258,"ancient remedy cures insomnia, experts furious bef","ancient remedy cures insomnia, experts furious before it's deleted!",FAKE
259,The State Bank upgraded infrastructure for peak de,The State Bank upgraded infrastructure for peak demand this week.,REAL
260,"ancient remedy cures cancer, experts furious click","ancient remedy cures cancer, experts furious click here!",FAKE
261,The State Bank recorded a decline in reported case,The State Bank recorded a decline in reported cases on Wednesday.,REAL
262,The State Bank met local business leaders on expor,The State Bank met local business leaders on exports according to the report.,REAL
263,The State Bank reported a modest quarterly increas,The State Bank reported a modest quarterly increase earlier today.,REAL
264,secret makes your bills vanish completely before i,secret makes your bills vanish completely before it's deleted!,FAKE
265,"BREAKING: free laptops for ALL citizens, register ","BREAKING: free laptops for ALL citizens, register before midnight limited time!",FAKE
266,EXPOSED the real reason behind science!!!,EXPOSED the real reason behind science!!!,FAKE
267,earn 500000 from home doing nothing act fast!,earn 500000 from home doing nothing act fast!,FAKE
268,The State Bank completed scheduled maintenance wor,The State Bank completed scheduled maintenance work this month.,REAL
269,The finance ministry announced a revised policy af,The finance ministry announced a revised policy after a review meeting officials said.,REAL
270,The finance ministry reported a modest quarterly i,The finance ministry reported a modest quarterly increase in a statement.,REAL
271,The State Bank met local business leaders on expor,The State Bank met local business leaders on exports as planned.,REAL
272,The State Bank launched a district service initiat,The State Bank launched a district service initiative on Monday.,REAL
273,MIRACLE laptops melts fat in one week wake up!,MIRACLE laptops melts fat in one week wake up!,FAKE
274,The State Bank launched a district service initiat,The State Bank launched a district service initiative as planned.,REAL
275,MIRACLE spice melts fat in one week — share NOW!,MIRACLE spice melts fat in one week — share NOW!,FAKE
276,The State Bank recorded a decline in reported case,The State Bank recorded a decline in reported cases according to the report.,REAL
277,The State Bank published findings in a research jo,The State Bank published findings in a research journal as planned.,REAL
278,The finance ministry reported a modest quarterly i,The finance ministry reported a modest quarterly increase this month.,REAL
279,The State Bank began the second data collection ph,The State Bank began the second data collection phase earlier today.,REAL
280,The State Bank held a press conference for reporte,The State Bank held a press conference for reporters as planned.,REAL
281,The State Bank released its annual activity report,The State Bank released its annual activity report on Wednesday.,REAL
282,EXPOSED the real reason behind the government clic,EXPOSED the real reason behind the government click here!,FAKE
283,this trick fixes your phone in seven days wake up!,this trick fixes your phone in seven days wake up!,FAKE
284,secret insomnia cure hidden by big companies act f,secret insomnia cure hidden by big companies act fast!,FAKE
285,EXPOSED the real reason behind the economy act fas,EXPOSED the real reason behind the economy act fast!,FAKE
286,The State Bank released its annual activity report,The State Bank released its annual activity report according to the report.,REAL
287,aliens landed and media hides the footage act fast,aliens landed and media hides the footage act fast!,FAKE
288,"ancient remedy cures arthritis, experts furious do","ancient remedy cures arthritis, experts furious don't miss out!",FAKE
289,EXPOSED the real reason behind the economy don't m,EXPOSED the real reason behind the economy don't miss out!,FAKE
290,The State Bank met local business leaders on expor,The State Bank met local business leaders on exports earlier today.,REAL
291,ALERT disaster strikes next Friday click here!,ALERT disaster strikes next Friday click here!,FAKE
292,The finance ministry held a press conference for r,The finance ministry held a press conference for reporters during the session.,REAL
293,The State Bank introduced an updated online system,The State Bank introduced an updated online system on Wednesday.,REAL
294,The State Bank introduced an updated online system,The State Bank introduced an updated online system during the session.,REAL
295,earn 500000 from home doing nothing don't miss out,earn 500000 from home doing nothing don't miss out!,FAKE
296,The State Bank launched a district service initiat,The State Bank launched a district service initiative officials said.,REAL
297,secret makes your bills vanish completely act fast,secret makes your bills vanish completely act fast!,FAKE
298,MIRACLE fruit melts fat in one week act fast!,MIRACLE fruit melts fat in one week act fast!,FAKE
299,aliens landed and media hides the footage before i,aliens landed and media hides the footage before it's deleted!,FAKE
300,aliens landed and media hides the footage limited ,aliens landed and media hides the footage limited time!,FAKE
301,you won't BELIEVE the truth about the news don't m,you won't BELIEVE the truth about the news don't miss out!,FAKE
302,The State Bank introduced an updated online system,The State Bank introduced an updated online system officials said.,REAL
303,The State Bank announced a revised policy after a ,The State Bank announced a revised policy after a review meeting as planned.,REAL
304,they add chemicals to your SIM card limited time!,they add chemicals to your SIM card limited time!,FAKE
305,The finance ministry announced a revised policy af,The finance ministry announced a revised policy after a review meeting during the session.,REAL
306,URGENT: your phone blocked tomorrow unless you for,URGENT: your phone blocked tomorrow unless you forward this act fast!,FAKE
307,The State Bank published findings in a research jo,The State Bank published findings in a research journal this month.,REAL
308,"you were charged 50000, click to reverse now don't","you were charged 50000, click to reverse now don't miss out!",FAKE
309,The State Bank allocated additional budget funds a,The State Bank allocated additional budget funds according to the report.,REAL
310,they add chemicals to your water before it's delet,they add chemicals to your water before it's deleted!,FAKE
311,SHOCKING trick cures insomnia overnight — share NO,SHOCKING trick cures insomnia overnight — share NOW!,FAKE
312,The State Bank published findings in a research jo,The State Bank published findings in a research journal this week.,REAL
313,"ancient remedy cures baldness, experts furious the","ancient remedy cures baldness, experts furious they hate this!",FAKE
314,The State Bank confirmed the new project timeline ,The State Bank confirmed the new project timeline officials said.,REAL
315,The State Bank published findings in a research jo,The State Bank published findings in a research journal officials said.,REAL
316,secret makes your bills vanish completely they hat,secret makes your bills vanish completely they hate this!,FAKE
317,The finance ministry approved a minor routine adju,The finance ministry approved a minor routine adjustment officials said.,REAL
318,ALERT disaster strikes next Friday before it's del,ALERT disaster strikes next Friday before it's deleted!,FAKE
